iter	Passed	Remaining
0	141	141631
1	143	71784
2	145	48417
3	147	36649
4	148	29574
5	150	24928
6	152	21571
7	154	19146
8	156	17279
9	159	15768
10	161	14503
11	162	13413
12	165	12579
13	167	11814
14	169	11154
15	172	10631
16	174	10117
17	176	9652
18	178	9239
19	180	8862
20	182	8512
21	184	8220
22	187	7950
23	189	7695
24	190	7447
25	192	7213
26	194	7001
27	195	6797
28	197	6597
29	198	6425
30	200	6260
31	201	6098
32	202	5946
33	204	5803
34	205	5665
35	206	5532
36	207	5410
37	209	5291
38	210	5185
39	211	5081
40	212	4975
41	213	4871
42	214	4772
43	215	4683
44	216	4591
45	217	4507
46	218	4423
47	218	4339
48	219	4262
49	220	4190
50	221	4117
51	222	4047
52	222	3982
53	223	3915
54	224	3851
55	224	3787
56	225	3730
57	226	3675
58	227	3621
59	227	3566
60	228	3517
61	229	3465
62	229	3416
63	230	3369
64	231	3324
65	231	3280
66	232	3237
67	232	3190
68	233	3149
69	234	3111
70	234	3071
71	235	3032
72	235	2994
73	236	2958
74	237	2925
75	237	2890
76	238	2857
77	238	2824
78	239	2792
79	240	2760
80	240	2728
81	241	2699
82	241	2670
83	242	2646
84	243	2617
85	243	2590
86	244	2561
87	244	2537
88	245	2511
89	245	2485
90	246	2459
91	246	2435
92	247	2412
93	248	2392
94	248	2370
95	249	2348
96	250	2327
97	250	2307
98	251	2286
99	251	2265
100	252	2245
101	252	2223
102	253	2204
103	253	2186
104	254	2169
105	254	2150
106	255	2135
107	256	2118
108	257	2101
109	257	2084
110	258	2068
111	258	2052
112	259	2037
113	260	2020
114	260	2006
115	261	1990
116	261	1976
117	262	1960
118	262	1945
119	263	1930
120	263	1916
121	264	1903
122	264	1888
123	265	1875
124	266	1863
125	266	1850
126	267	1837
127	267	1823
128	268	1810
129	268	1797
130	269	1785
131	269	1774
132	270	1763
133	271	1751
134	271	1740
135	272	1729
136	272	1718
137	273	1706
138	273	1696
139	274	1685
140	274	1675
141	275	1665
142	276	1655
143	276	1644
144	277	1634
145	277	1625
146	278	1615
147	278	1605
148	279	1595
149	279	1586
150	280	1577
151	281	1569
152	282	1561
153	282	1552
154	283	1544
155	283	1535
156	284	1526
157	284	1517
158	285	1509
159	285	1500
160	286	1492
161	287	1485
162	287	1478
163	288	1471
164	289	1464
165	289	1456
166	290	1448
167	290	1440
168	291	1432
169	292	1426
170	293	1420
171	293	1413
172	294	1406
173	295	1400
174	295	1393
175	296	1386
176	296	1379
177	297	1374
178	298	1368
179	298	1361
180	299	1353
181	299	1347
182	300	1340
183	300	1334
184	301	1327
185	301	1321
186	302	1315
187	303	1309
188	303	1304
189	304	1298
190	305	1292
191	305	1286
192	306	1280
193	306	1275
194	307	1268
195	307	1263
196	308	1257
197	309	1252
198	309	1247
199	310	1241
200	311	1236
201	311	1231
202	312	1225
203	312	1220
204	313	1214
205	313	1209
206	314	1204
207	315	1200
208	315	1195
209	316	1190
210	317	1186
211	317	1181
212	318	1176
213	319	1171
214	319	1166
215	320	1162
216	320	1157
217	321	1153
218	321	1148
219	322	1143
220	323	1139
221	323	1134
222	324	1130
223	324	1125
224	325	1120
225	326	1116
226	326	1112
227	327	1108
228	327	1103
229	328	1099
230	329	1095
231	329	1091
232	330	1086
233	330	1082
234	331	1079
235	332	1075
236	332	1071
237	333	1067
238	334	1063
239	334	1059
240	335	1055
241	335	1052
242	336	1048
243	337	1044
244	337	1040
245	338	1037
246	338	1033
247	339	1029
248	340	1025
249	340	1021
250	341	1018
251	341	1014
